BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,DepartmentID
1,"295847284","adventure-works\ken0",,,"Chief Executive Officer","1979-01-29","S","M","2019-01-14",-1,99,69,-1,"{F01251E5-96A3-448D-981E0F99D789110D}","06/30/24 00:00:00",16
2,"245797967","adventure-works\terri0","X",1,"Vice President of Engineering","1981-08-01","S","F","2018-01-31",-1,1,20,-1,"{45E8F437-670D-4409-93CBF9424A40D6EE}","06/30/24 00:00:00",1
3,"509647174","adventure-works\roberto0","Z¿",2,"Engineering Manager","1984-11-12","M","M","2017-11-11",-1,2,21,-1,"{9BBBFB2C-EFBB-4217-9AB7F97689328841}","06/30/24 00:00:00",1
4,"112457891","adventure-works\rob0","Z÷",3,"Senior Tool Designer","1984-12-23","S","M","2017-12-05",0,48,80,-1,"{59747955-87B8-443F-8ED4F8AD3AFDF3A9}","06/30/24 00:00:00",2
5,"695256908","adventure-works\gail0","Z⁄",3,"Design Engineer","1962-09-27","M","F","2018-01-06",-1,5,22,-1,"{EC84AE09-F9B8-4A15-B4A96CCBAB919B08}","06/30/24 00:00:00",1
6,"998320692","adventure-works\jossef0","Zﬁ",3,"Design Engineer","1969-03-11","M","M","2018-01-24",-1,6,23,-1,"{E39056F1-9CD5-478D-894514ACA7FBDCDD}","06/30/24 00:00:00",1
7,"134969118","adventure-works\dylan0","Z·",3,"Research and Development Manager","1997-02-24","M","M","2019-02-08",-1,61,50,-1,"{4F46DECA-EF01-41FD-98290ADAB368E431}","06/30/24 00:00:00",6
8,"811994146","adventure-works\diane1","Z·X",4,"Research and Development Engineer","1996-06-05","S","F","2018-12-29",-1,62,51,-1,"{31112635-663B-4018-B4A2A685C0BF48A4}","06/30/24 00:00:00",6
9,"658797903","adventure-works\gigi0","Z·h",4,"Research and Development Engineer","1989-01-21","M","F","2019-01-16",-1,63,51,-1,"{50B6CDC6-7570-47EF-957048A64B5F2ECF}","06/30/24 00:00:00",6
10,"879342154","adventure-works\michael6","Z·x",4,"Research and Development Manager","1994-11-30","M","M","2019-05-03",-1,16,64,-1,"{EAA43680-5571-40CB-AB1A3BF68F04459E}","06/30/24 00:00:00",6
