BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,rowguid,ModifiedDate
1,"EM",0,,"Ken","J","Sánchez",,0,"{92C4279F-1207-48A3-84484636514EB7E2}","01/07/19 00:00:00"
2,"EM",0,,"Terri","Lee","Duffy",,1,"{D8763459-8AA8-47CC-AFF7C9079AF79033}","01/24/18 00:00:00"
3,"EM",0,,"Roberto",,"Tamburello",,0,"{E1A2555E-0828-434B-A33B6F38136A37DE}","11/04/17 00:00:00"
4,"EM",0,,"Rob",,"Walters",,0,"{F2D7CE06-38B3-4357-805BF4B6B71C01FF}","11/28/17 00:00:00"
5,"EM",0,"Ms.","Gail","A","Erickson",,0,"{F3A3F6B4-AE3B-430C-A7549F2231BA6FEF}","12/30/17 00:00:00"
6,"EM",0,"Mr.","Jossef","H","Goldberg",,0,"{0DEA28FD-EFFE-482A-AFD3B7E8F199D56F}","12/16/23 00:00:00"
7,"EM",0,,"Dylan","A","Miller",,2,"{C45E8AB8-01BE-4B76-B215820C8368181A}","02/01/19 00:00:00"
8,"EM",0,,"Diane","L","Margheim",,0,"{A948E590-4A56-45A9-BC9A160A1CC9D990}","12/22/18 00:00:00"
9,"EM",0,,"Gigi","N","Matthew",,0,"{5FC28C0E-6D36-4252-984605CAA0B1F6C5}","01/09/19 00:00:00"
10,"EM",0,,"Michael",,"Raheem",,2,"{CA2C740E-75B2-420C-9D4BE3CBC6609604}","04/26/19 00:00:00"
11,"EM",0,,"Ovidiu","V","Cracium",,0,"{D2CC2577-EF6B-4408-BD8C747337FE5645}","11/28/20 00:00:00"
12,"EM",0,,"Thierry","B","D'Hers",,2,"{FA263C7F-600D-4E89-8DCD0978F3530F5F}","12/04/17 00:00:00"
13,"EM",0,"Ms.","Janice","M","Galvin",,2,"{34EB99E0-7042-4DC1-A2FDBDA290FF0E07}","12/16/20 00:00:00"
14,"EM",0,,"Michael","I","Sullivan",,2,"{9A7501DE-5CAF-4700-AB07CC81102BB696}","12/23/20 00:00:00"
15,"EM",0,,"Sharon","B","Salavaria",,2,"{BEBA63CB-13F1-4B76-A3DEFE9AC283A94C}","01/11/21 00:00:00"
